Scientifique,Groupe,Domaine et découvertes,Expérience
Galilée,Daphnée,Galilée reprend l’idée de Copernic : les planètes tournent autour du soleil.,"-TABLETTE
-TOURNE AUTOUR DU SOLEIL
-CHAISE ROULANTE, SOLEIL,"
Joliot Curie,Selwan,"un physicien et chimiste.
Radioactivité",X
Isaac Newton,Cyril,télescope / loi gravitationnelle / lumière,"Lumière :
tube avec une fente

prisme en vert

disque de Newton 

eau et soleil

Fabrication de toupie"
Lavoisier,Zoé,Conservation de la matière. Composition de l’eau.,
François Arago,Emelyne,Diamètre des planètes. vitesse du son. vitesse de la lumière.,"Téléphones fizziq
Problème distance Orage ou Avion de Chasse"
Johannes Kepler,Abdul / Cyril,"astronomie et copernic 
mouvement des planètes",X
William Herschel,Mélina,Astronomie découvre un rayonnement infrarouge en 1802,
Romer,Emy,Astronomie / vitesse de la lumière,
Eddington,Elisabeth,Astrophysicien / Les Grands nombres,
Georges Charpak,Elisabeth,Détecteur de particules à haute énergie,
Mercator,Abdul / Emy,création de globes et de cartes du monde,
D’Alembert,Gino,c’ est un mathématicien/physicien il a gagner un concours de l'académie de berlin en 1746 il a travaillé météorologie scientifique,
François Jacob,Emelyne,Biologie / ADN ARN,"-première étape : 
ajout de quelques goût de liquide 
vaisselle dans un tube à essai contenant de la salive .
-deuxième étape :
ajouter d’une petite quantité de sel.TROI Etape :
ajouté d’éthanol qui élimine les molécules d’eau entre les molécules d’ADN .quarte ETAPE 
LA méduse est placée dans un verre de montré après l'avoir récupérée dans le tube a essais.
cinq étape ajoute du vert de méthyle acétique 
rinçage de la méduse dans le l’eau."
Nicolas Copernic,Vicenco,Terre tourne autour du soleil,
Frédérique Curie,Reeyane,Radioactivité artificielle,
Irène Curie,Mélina,Chimie / Physique /,
Edwar Jenner,Gino,"Création d vaccin et le 14 mai 1796 ,un médecin de campagne vaccine un jeune garçon afin de le protéger contre la variole",